"%s - Repsonse: %s","%s - Repsonse: %s"
"%s new review(s)","%s new review(s)"
"%s review(s) updated","%s review(s) updated"
"%s, please check the online manual for suggestions.","%s, please check the online manual for suggestions."
"(more)","(more)"
"API CREDENTIALS","API CREDENTIALS"
"API Key","API Key"
"Activate","Activate"
"Active","Active"
"Add Rich Snippets","Add Rich Snippets"
"Add to Sidebar","Add to Sidebar"
"Add to Sidebar Homepage","Add to Sidebar Homepage"
"Aftersales","Aftersales"
"Api URL","Api URL"
"Are you sure you want to cleanup logfiles?","Are you sure you want to cleanup logfiles?"
"Are you sure you want to delete all reviews?","Are you sure you want to delete all reviews?"
"Auto Cleaning","Auto Cleaning"
"Character length of Reviews","Character length of Reviews"
"Comma Separated, as: 10,20,30","Comma Separated, as: 10,20,30"
"Clean After Days","Clean After Days"
"Cleanup Log","Cleanup Log"
"Cron","Cron"
"Date","Date"
"Delay","Delay"
"Delete","Delete"
"Delete all reviews","Delete all reviews"
"Delivery Time","Delivery Time"
"Description","Description"
"Enable Log Function","Enable Log Function"
"Enabled","Enabled"
"Every 15 minutes","Every 15 minutes"
"Every Hour","Every Hour"
"Every other Hour","Every other Hour"
"Experience","Experience"
"External (Webwinkelkeur.nl)","External (Webwinkelkeur.nl)"
"General Configuration","General Configuration"
"Import Automatically","Import Automatically"
"Internal (/Webwinkelkeur)","Internal (/webwinkelkeur)"
"Insert the interactive WebwinkelKeur Sidebar","Insert the interactive WebwinkelKeur Sidebar"
"Invitation","Invitation"
"Invitation Call","Invitation Call"
"Invitation to write the customer experience","Invitation to write the customer experience"
"Invitation e-mail is sent after such status is achieved","Invitation e-mail is sent after such status is achieved"
"Send the invitation x days after the order is completed","Send the invitation x days after the order is completed"
"Javascript Integration","Javascript Integration"
"Last Update","Last Update"
"Latest Reviews Visibility","Latest Reviews Visibility"
"Left","Left"
"Left Sidebar","Left Sidebar"
"Link to","Link to"
"Logs can be activated in order to detect errors.<br/> This feature is particularly for developers.<br/><br/>","Logs can be activated in order to detect errors.<br/> This feature is particularly for developers.<br/><br/>"
"Magmodules","Magmodules"
"Manual","Manual"
"Maximum Delay","Maximum Delay"
"Meta Data","Meta Data"
"Meta Keywords","Meta Keywords"
"Name","Name"
"No","No"
"None","None"
"Number of Reviews","Number of Reviews"
